"22","TSD","http://units.systems/tsd/flashlight/","flashlight","FLASHLIGHT","Surv","Packed with electrical lighting power to cut bright cones through darkness, shake or smack if not working properly.","""Let there be light."""
"23","TSD","http://units.systems/tsd/wrench/","wrench","WRENCH","Surv","A real nut buster! The last tool a real mechanic would ever heft but still more flexible than everything else in the tool box. Loosen or tighten up - all in one.","""Sweat or blood, a tool fit for both trades."""
"24","TSD","http://units.systems/tsd/metallic-lighter/","metallic-lighter","METALLIC LIGHTER","Surv","A fistful of torch. This small item is a true art of engineering, that can fire up under the most dire circumstances.","""Click, zip, whoosh... BOOM!"""
"25","TSD","http://units.systems/tsd/chainsaw/","chainsaw","CHAINSAW","Weap","Gasoline and electric versions exist. Both are very dangerous, but the roar of the gasoline version far outweighs the other in terms of intimidation.","""Just add massacre."""
"26","TSD","http://units.systems/tsd/remington-870/","remington-870","REMINGTON 870","Weap","A trusted pump-action shotgun issued in many variations. Owning one of these will change your life by ending others.","""Set your rage gauge to 12."""
"27","TSD","http://units.systems/tsd/binoculars/","binoculars","BINOCULARS","Surv","Good for spying from great distances. Some models feature zoom lenses or other extras.","""Just what you're looking for..."""
"28","TSD","http://units.systems/tsd/u-lock/","u-lock","U-LOCK","Surv","Always make sure you secure your ride, prisoner or box of supplies thoroughly.","""Secure bigger things."""
"29","TSD","http://units.systems/tsd/tobacco/","tobacco","TOBACCO","Surv","For those special moments of personal reflection before or after the slaughter.","""There are faster ways than this."""
"30","TSD","http://units.systems/tsd/rope/","rope","ROPE","Surv","High-quality fabric made to withstand stress and heavy loads. A hiker's item of choice.","""How long is a piece of rope? Now you know."""
"31","TSD","http://units.systems/tsd/running-shoes/","running-shoes","RUNNING SHOES","Armor","Made in faraway lands, by the best of hands. Soft rubber soles, and sturdy leather protection. A perfect fit for healthy feet. You´ll never want to run out of these.","""Preferred by sneakers."""
"32","TSD","http://units.systems/tsd/fruit-plant/","fruit-plant","FRUIT PLANT","Quest","Requires sun, moisture and human-friendly temperatures for the seeds to grow and bear fruit. Treat it with love. This is one of the few things in this world that actually gives something in return.","""Water my world."""
"33","TSD","http://units.systems/tsd/m1-combat-helmet/","m1-combat-helmet","M1 COMBAT HELMET","Armor","Might just let you live to declare ”That was a close call!”.","""Let me see your war face!"""
"34","TSD","http://units.systems/tsd/sleeping-bag/","sleeping-bag","SLEEPING BAG","Surv","Crafted from lightweight fabrics. Designed to withstand Mother Nature’s shifting temperament. A vital piece of equipment that is highly sought after.","""When it's cold outside and you want to sleep in."""
"35","TSD","http://units.systems/tsd/duct-tape/","duct-tape","DUCT TAPE","Surv","Highly reliable tech that grapples through stickiness. Can fix most damaged materials and keep it functioning - good enough.","""If a strip of this doesn't fix it, nothing will."""
"36","TSD","http://units.systems/tsd/rearview-mirror/","rearview-mirror","REARVIEW MIRROR","Surv","A fine polished reflective glass is a true multipurpose tool for survivors of all Eras.","""Objects may appear closer than they are."""
"37","TSD","http://units.systems/tsd/compass/","compass","COMPASS","Surv","A precision instrument for safe guidance if you know how to use it.","""A force unknown controls this device."""
"38","TSD","http://units.systems/tsd/kneepads/","kneepads","KNEEPADS","Armor","When you have to quickly take a knee for that critical shot, a little bit of padding can help you keep your focus on target.","""Down on your knees and feel good about it."""
"39","TSD","http://units.systems/tsd/welding-helmet/","welding-helmet","WELDING HELMET","Armor","Block body fluids or splinters, hot or cold stuff. Features a tough visor that's easy to clean.","""Spatters or sparks, protects your face from ugly marks."""
"40","TSD","http://units.systems/tsd/ring-of-keys/","ring-of-keys","RING OF KEYS","Quest","People usually keep their valuables locked away. Keys fit into locks. Now just find the matching pairs.","""These might be the keys to Another World."""
"41","TSD","http://units.systems/tsd/plastic-bottles/","plastic-bottles","PLASTIC BOTTLES","Surv","Durable, flexible container that holds liquids for survival or attack. They come in a variety of configurations","""More common than fish in the sea."""
"42","TSD","http://units.systems/tsd/gas-mask/","gas-mask","GAS MASK","Surv","Engineering at its best. It's made for hazardous environments where respiratory functions would be seriously damaged without filtration.","""Smell you later."""
"43","TSD","http://units.systems/tsd/pillbox/","pillbox","PILLBOX","Quest","Created to alter the biological or mental state of the user. They can stop bleeding, treat insanity, induce hallucinations or put men to sleep. Most often they are taken orally, swallowed whole.","""Take the blue pill."""
"44","TSD","http://units.systems/tsd/canned-food/","canned-food","CANNED FOOD","Surv","Thin metal container that preserves edibles. Often stacked as a status symbol in special cabinets, they usually contain vegetables or meat. Special tools may be used to open them efficiently.","""Beggars can't be choosers."""
"45","TSD","http://units.systems/tsd/fine-hardbound-book/","fine-hardbound-book","FINE HARDBOUND BOOK","Quest","Intellectual property should not to be underestimated. With a book in your hand you might come out as a pundit instead of a bandit.","""Someone had a lot to say in the name of someone else."""
"46","TSD","http://units.systems/tsd/thick-blanket/","thick-blanket","THICK BLANKET","Surv","When the nights and the seasons are against you, hug this one a little tighter.","""Cover me!"""
"47","TSD","http://units.systems/tsd/scotch/","scotch","SCOTCH","Surv","Comes in many shapes, but once emptied becomes, ""the best I ever had.""","""Liquid courage in the form of single or blended."""
"48","TSD","http://units.systems/tsd/crowbar/","crowbar","CROWBAR","Weap","A solid piece of equipment, well worth its weight. Once you start using it, you can’t be without it.","""Need to jimmy that?"""
"49","TSD","http://units.systems/tsd/trenchcoat/","trenchcoat","TRENCHCOAT","Armor","Excellent to conceal contraband on your body, or more mundanely, keep your arms and legs dry in harsh weather conditions.","""#Lurktime"""
"50","TSD","http://units.systems/tsd/oil-lamp/","oil-lamp","OIL LAMP","Surv","The best substitute for a lamp in any low tech society. Any hardcore prepper's first choice of light source.","""Light your way, old style."""
"51","TSD","http://units.systems/tsd/glasses-of-seeing/","glasses-of-seeing","GLASSES OF SEEING","Armor","Glasses come in all forms and shapes but they most often make you look like someone not to hit in the face.","""Put these on and a new world might be revealed."""
"52","TSD","http://units.systems/tsd/waterflask/","waterflask","WATER FLASK","Surv","For longer journeys you always need a reliable container. Never miss a chance to fill 'er up!","""Bring your own drink to the party."""
"53","TSD","http://units.systems/tsd/fire-extinguisher/","fire-extinguisher","FIRE EXTINGUISHER","Surv","Pressure filled canister for dousing flames in awkward places. Can kill a fire in a blink of an eye if handled properly.","""Always aim for the base."""
"54","TSD","http://units.systems/tsd/roadsign-shield/","roadsign-shield","ROADSIGN SHIELD","Armor","A punched lightweight sheet of metal, bendable, but sturdy as well. Found everywhere, usually perforated and corroded, but one or two in mint condition is a real haul.","""Fast protection against furious forces."""
